000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "2000.log", TCP port 59144, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 59144 ... Done.
000.858 New epoch: Wed May  5 15:50:07 2021
000.858 =================================================================
000.858 
000.858 Designed by Jiang Yanjun, build: May  5 2021  15:48:17
003.245 .... 7 packets received, 6810 bps, 85.13%, Err 1 (5.3e-05)
005.375 .... 15 packets received, 7254 bps, 90.67%, Err 1 (2.8e-05)
007.469 .... 23 packets received, 7443 bps, 93.03%, Err 1 (1.9e-05)
009.589 .... 31 packets received, 7514 bps, 93.93%, Err 1 (1.4e-05)
011.727 .... 39 packets received, 7544 bps, 94.30%, Err 1 (1.2e-05)
013.844 .... 47 packets received, 7577 bps, 94.71%, Err 1 (9.6e-06)
015.924 .... 55 packets received, 7619 bps, 95.24%, Err 1 (8.3e-06)
018.048 .... 63 packets received, 7631 bps, 95.39%, Err 1 (7.3e-06)
020.152 .... 71 packets received, 7648 bps, 95.60%, Err 1 (6.5e-06)
022.265 .... 79 packets received, 7659 bps, 95.73%, Err 1 (5.8e-06)
024.398 .... 87 packets received, 7661 bps, 95.76%, Err 1 (5.3e-06)
026.497 .... 95 packets received, 7673 bps, 95.91%, Err 1 (4.9e-06)
028.610 .... 103 packets received, 7679 bps, 95.99%, Err 1 (4.5e-06)
030.732 .... 111 packets received, 7682 bps, 96.03%, Err 1 (4.2e-06)
032.828 .... 119 packets received, 7691 bps, 96.14%, Err 2 (7.8e-06)
035.229 .... 123 packets received, 7390 bps, 92.37%, Err 3 (1.1e-05)
037.342 .... 135 packets received, 7637 bps, 95.46%, Err 3 (1.0e-05)
039.980 .... 140 packets received, 7382 bps, 92.28%, Err 4 (1.3e-05)
042.094 .... 152 packets received, 7601 bps, 95.01%, Err 4 (1.2e-05)
044.205 .... 160 packets received, 7609 bps, 95.11%, Err 4 (1.2e-05)
046.322 .... 168 packets received, 7615 bps, 95.19%, Err 4 (1.1e-05)
048.434 .... 176 packets received, 7621 bps, 95.27%, Err 4 (1.1e-05)
050.529 .... 184 packets received, 7630 bps, 95.37%, Err 4 (1.0e-05)
052.659 .... 192 packets received, 7632 bps, 95.41%, Err 4 (9.7e-06)
054.774 .... 200 packets received, 7637 bps, 95.46%, Err 4 (9.3e-06)
056.879 .... 208 packets received, 7642 bps, 95.53%, Err 4 (8.9e-06)
058.988 .... 216 packets received, 7647 bps, 95.59%, Err 4 (8.6e-06)
061.100 .... 224 packets received, 7651 bps, 95.64%, Err 4 (8.3e-06)
063.224 .... 232 packets received, 7653 bps, 95.66%, Err 4 (8.0e-06)
065.337 .... 240 packets received, 7656 bps, 95.71%, Err 4 (7.8e-06)
067.451 .... 248 packets received, 7659 bps, 95.74%, Err 4 (7.5e-06)
069.557 .... 256 packets received, 7663 bps, 95.79%, Err 4 (7.3e-06)
071.686 .... 264 packets received, 7664 bps, 95.80%, Err 4 (7.1e-06)
073.800 .... 272 packets received, 7667 bps, 95.83%, Err 5 (8.6e-06)
076.944 .... 279 packets received, 7538 bps, 94.22%, Err 6 (9.9e-06)
079.058 .... 291 packets received, 7649 bps, 95.61%, Err 6 (9.6e-06)
081.167 .... 299 packets received, 7652 bps, 95.65%, Err 6 (9.3e-06)
083.293 .... 307 packets received, 7653 bps, 95.67%, Err 6 (9.1e-06)
085.406 .... 315 packets received, 7656 bps, 95.70%, Err 6 (8.9e-06)
087.506 .... 323 packets received, 7659 bps, 95.74%, Err 6 (8.7e-06)
089.638 .... 331 packets received, 7660 bps, 95.75%, Err 6 (8.5e-06)
091.749 .... 339 packets received, 7662 bps, 95.78%, Err 8 (1.1e-05)
093.869 .... 346 packets received, 7642 bps, 95.52%, Err 8 (1.1e-05)
095.975 .... 354 packets received, 7645 bps, 95.56%, Err 8 (1.1e-05)
098.081 .... 362 packets received, 7648 bps, 95.60%, Err 8 (1.0e-05)
100.201 .... 370 packets received, 7649 bps, 95.62%, Err 8 (1.0e-05)
102.318 .... 378 packets received, 7651 bps, 95.64%, Err 8 (9.9e-06)
104.424 .... 386 packets received, 7654 bps, 95.67%, Err 8 (9.7e-06)
106.546 .... 394 packets received, 7655 bps, 95.69%, Err 8 (9.5e-06)
108.654 .... 402 packets received, 7658 bps, 95.72%, Err 8 (9.3e-06)
110.757 .... 410 packets received, 7660 bps, 95.75%, Err 8 (9.1e-06)
113.672 .... 416 packets received, 7571 bps, 94.64%, Err 9 (1.0e-05)
115.775 .... 428 packets received, 7646 bps, 95.58%, Err 9 (9.8e-06)
117.887 .... 436 packets received, 7648 bps, 95.61%, Err 9 (9.6e-06)
120.005 .... 444 packets received, 7650 bps, 95.62%, Err 9 (9.4e-06)
122.111 .... 452 packets received, 7652 bps, 95.65%, Err 9 (9.3e-06)
124.234 .... 460 packets received, 7653 bps, 95.67%, Err 9 (9.1e-06)
126.336 .... 468 packets received, 7656 bps, 95.70%, Err 9 (9.0e-06)
128.431 .... 476 packets received, 7658 bps, 95.73%, Err 9 (8.8e-06)
130.566 .... 484 packets received, 7659 bps, 95.73%, Err 9 (8.7e-06)
132.688 .... 492 packets received, 7660 bps, 95.75%, Err 9 (8.5e-06)
134.777 .... 500 packets received, 7663 bps, 95.78%, Err 9 (8.4e-06)
136.900 .... 508 packets received, 7663 bps, 95.79%, Err 9 (8.3e-06)
139.034 .... 516 packets received, 7664 bps, 95.80%, Err 9 (8.1e-06)
141.133 .... 524 packets received, 7666 bps, 95.82%, Err 9 (8.0e-06)
143.263 .... 532 packets received, 7666 bps, 95.83%, Err 9 (7.9e-06)
145.362 .... 540 packets received, 7668 bps, 95.85%, Err 9 (7.8e-06)
147.473 .... 548 packets received, 7670 bps, 95.87%, Err 9 (7.7e-06)
150.663 .... 556 packets received, 7615 bps, 95.19%, Err 10 (8.3e-06)
152.784 .... 567 packets received, 7658 bps, 95.72%, Err 10 (8.2e-06)
154.866 .... 575 packets received, 7660 bps, 95.75%, Err 10 (8.1e-06)
157.001 .... 583 packets received, 7661 bps, 95.76%, Err 11 (8.8e-06)
159.102 .... 590 packets received, 7649 bps, 95.62%, Err 11 (8.7e-06)
161.221 .... 598 packets received, 7651 bps, 95.63%, Err 11 (8.6e-06)
163.328 .... 606 packets received, 7652 bps, 95.65%, Err 11 (8.5e-06)
165.455 .... 614 packets received, 7653 bps, 95.66%, Err 11 (8.4e-06)
167.566 .... 622 packets received, 7654 bps, 95.68%, Err 11 (8.2e-06)
169.673 .... 630 packets received, 7656 bps, 95.70%, Err 11 (8.1e-06)
171.768 .... 638 packets received, 7658 bps, 95.72%, Err 11 (8.0e-06)
173.907 .... 646 packets received, 7658 bps, 95.72%, Err 11 (7.9e-06)
176.005 .... 654 packets received, 7660 bps, 95.74%, Err 11 (7.9e-06)
178.108 .... 662 packets received, 7661 bps, 95.76%, Err 11 (7.8e-06)
180.246 .... 670 packets received, 7661 bps, 95.76%, Err 11 (7.7e-06)
182.342 .... 678 packets received, 7663 bps, 95.79%, Err 11 (7.6e-06)
185.527 .... 685 packets received, 7608 bps, 95.10%, Err 12 (8.1e-06)
187.643 .... 697 packets received, 7654 bps, 95.67%, Err 12 (8.0e-06)
189.754 .... 705 packets received, 7655 bps, 95.69%, Err 13 (8.6e-06)
191.861 .... 713 packets received, 7656 bps, 95.70%, Err 13 (8.5e-06)
193.970 .... 721 packets received, 7658 bps, 95.72%, Err 13 (8.4e-06)
196.336 .... 725 packets received, 7607 bps, 95.08%, Err 14 (9.0e-06)
198.457 .... 737 packets received, 7649 bps, 95.62%, Err 14 (8.9e-06)
200.593 .... 745 packets received, 7650 bps, 95.62%, Err 14 (8.8e-06)
203.479 .... 752 packets received, 7611 bps, 95.14%, Err 15 (9.3e-06)
205.610 .... 763 packets received, 7642 bps, 95.53%, Err 15 (9.2e-06)
207.721 .... 771 packets received, 7644 bps, 95.54%, Err 15 (9.1e-06)
209.822 .... 779 packets received, 7645 bps, 95.56%, Err 15 (9.0e-06)
211.947 .... 787 packets received, 7646 bps, 95.57%, Err 15 (8.9e-06)
214.039 .... 795 packets received, 7648 bps, 95.59%, Err 15 (8.8e-06)
216.164 .... 803 packets received, 7648 bps, 95.60%, Err 15 (8.7e-06)
218.265 .... 811 packets received, 7650 bps, 95.62%, Err 15 (8.6e-06)
220.394 .... 819 packets received, 7650 bps, 95.63%, Err 15 (8.5e-06)
222.492 .... 827 packets received, 7652 bps, 95.64%, Err 15 (8.5e-06)
224.599 .... 831 packets received, 7616 bps, 95.20%, Err 16 (8.9e-06)
226.723 .... 842 packets received, 7644 bps, 95.55%, Err 16 (8.9e-06)
228.849 .... 850 packets received, 7645 bps, 95.56%, Err 16 (8.8e-06)
230.956 .... 858 packets received, 7646 bps, 95.58%, Err 16 (8.7e-06)
233.065 .... 866 packets received, 7647 bps, 95.59%, Err 16 (8.6e-06)
235.183 .... 874 packets received, 7648 bps, 95.60%, Err 16 (8.5e-06)
237.298 .... 882 packets received, 7649 bps, 95.61%, Err 16 (8.5e-06)
239.394 .... 890 packets received, 7650 bps, 95.63%, Err 16 (8.4e-06)
242.301 .... 897 packets received, 7618 bps, 95.22%, Err 18 (9.3e-06)
244.439 .... 908 packets received, 7643 bps, 95.54%, Err 19 (9.8e-06)
246.526 .... 915 packets received, 7637 bps, 95.46%, Err 19 (9.7e-06)
248.659 .... 923 packets received, 7637 bps, 95.46%, Err 19 (9.6e-06)
250.770 .... 927 packets received, 7605 bps, 95.07%, Err 20 (1.0e-05)
252.860 .... 938 packets received, 7632 bps, 95.39%, Err 20 (9.9e-06)
254.978 .... 946 packets received, 7632 bps, 95.41%, Err 20 (9.8e-06)
257.897 .... 953 packets received, 7602 bps, 95.02%, Err 21 (1.0e-05)
259.989 .... 964 packets received, 7627 bps, 95.34%, Err 21 (1.0e-05)
262.119 .... 972 packets received, 7628 bps, 95.35%, Err 21 (1.0e-05)
264.233 .... 980 packets received, 7629 bps, 95.36%, Err 21 (1.0e-05)
266.327 .... 988 packets received, 7630 bps, 95.38%, Err 21 (9.9e-06)
268.451 .... 996 packets received, 7631 bps, 95.39%, Err 21 (9.8e-06)
270.580 .... 1004 packets received, 7631 bps, 95.39%, Err 21 (9.7e-06)
272.959 .... 1008 packets received, 7595 bps, 94.93%, Err 22 (1.0e-05)
275.325 .... 1016 packets received, 7589 bps, 94.86%, Err 23 (1.0e-05)
277.422 .... 1028 packets received, 7620 bps, 95.25%, Err 23 (1.0e-05)
279.530 .... 1036 packets received, 7621 bps, 95.27%, Err 23 (1.0e-05)
281.644 .... 1044 packets received, 7622 bps, 95.28%, Err 23 (1.0e-05)
283.782 .... 1052 packets received, 7623 bps, 95.28%, Err 23 (1.0e-05)
285.887 .... 1060 packets received, 7624 bps, 95.30%, Err 23 (1.0e-05)
287.977 .... 1068 packets received, 7625 bps, 95.32%, Err 23 (1.0e-05)
290.105 .... 1076 packets received, 7626 bps, 95.33%, Err 23 (9.9e-06)
292.217 .... 1084 packets received, 7627 bps, 95.34%, Err 23 (9.9e-06)
294.320 .... 1092 packets received, 7628 bps, 95.35%, Err 23 (9.8e-06)
296.438 .... 1100 packets received, 7629 bps, 95.36%, Err 23 (9.7e-06)
298.548 .... 1108 packets received, 7630 bps, 95.37%, Err 23 (9.7e-06)
300.669 .... 1116 packets received, 7631 bps, 95.38%, Err 23 (9.6e-06)
302.779 .... 1124 packets received, 7631 bps, 95.39%, Err 23 (9.5e-06)
304.899 .... 1132 packets received, 7632 bps, 95.40%, Err 23 (9.5e-06)
307.013 .... 1140 packets received, 7633 bps, 95.41%, Err 23 (9.4e-06)
309.136 .... 1148 packets received, 7634 bps, 95.42%, Err 23 (9.3e-06)
311.247 .... 1156 packets received, 7634 bps, 95.43%, Err 23 (9.3e-06)
313.362 .... 1164 packets received, 7635 bps, 95.44%, Err 23 (9.2e-06)
315.455 .... 1172 packets received, 7636 bps, 95.46%, Err 23 (9.1e-06)
317.565 .... 1180 packets received, 7637 bps, 95.47%, Err 23 (9.1e-06)
319.694 .... 1188 packets received, 7638 bps, 95.47%, Err 23 (9.0e-06)
321.792 .... 1196 packets received, 7639 bps, 95.49%, Err 23 (9.0e-06)
323.914 .... 1204 packets received, 7639 bps, 95.49%, Err 23 (8.9e-06)
326.032 .... 1212 packets received, 7640 bps, 95.50%, Err 23 (8.8e-06)
328.401 .... 1216 packets received, 7610 bps, 95.12%, Err 24 (9.2e-06)
330.511 .... 1228 packets received, 7636 bps, 95.44%, Err 24 (9.1e-06)
332.637 .... 1236 packets received, 7636 bps, 95.45%, Err 24 (9.0e-06)
334.749 .... 1244 packets received, 7637 bps, 95.46%, Err 24 (9.0e-06)
336.865 .... 1252 packets received, 7637 bps, 95.47%, Err 24 (8.9e-06)
338.964 .... 1260 packets received, 7639 bps, 95.48%, Err 24 (8.9e-06)
341.080 .... 1268 packets received, 7639 bps, 95.49%, Err 24 (8.8e-06)
343.195 .... 1276 packets received, 7640 bps, 95.50%, Err 24 (8.8e-06)
345.294 .... 1284 packets received, 7641 bps, 95.51%, Err 24 (8.7e-06)
347.425 .... 1292 packets received, 7641 bps, 95.51%, Err 24 (8.7e-06)
349.527 .... 1300 packets received, 7642 bps, 95.53%, Err 24 (8.6e-06)
351.626 .... 1308 packets received, 7643 bps, 95.54%, Err 24 (8.6e-06)
353.765 .... 1316 packets received, 7643 bps, 95.54%, Err 24 (8.5e-06)
355.860 .... 1324 packets received, 7644 bps, 95.55%, Err 24 (8.5e-06)
357.990 .... 1332 packets received, 7644 bps, 95.56%, Err 24 (8.4e-06)
360.094 .... 1340 packets received, 7645 bps, 95.57%, Err 24 (8.4e-06)
362.194 .... 1348 packets received, 7646 bps, 95.58%, Err 24 (8.3e-06)
364.324 .... 1356 packets received, 7647 bps, 95.58%, Err 24 (8.3e-06)
367.206 .... 1363 packets received, 7625 bps, 95.32%, Err 25 (8.5e-06)
369.335 .... 1374 packets received, 7643 bps, 95.53%, Err 25 (8.5e-06)
371.437 .... 1382 packets received, 7643 bps, 95.54%, Err 26 (8.8e-06)
373.548 .... 1389 packets received, 7639 bps, 95.48%, Err 26 (8.7e-06)
375.659 .... 1397 packets received, 7639 bps, 95.49%, Err 26 (8.7e-06)
377.768 .... 1405 packets received, 7640 bps, 95.50%, Err 26 (8.6e-06)
380.423 .... 1410 packets received, 7614 bps, 95.17%, Err 27 (8.9e-06)
382.536 .... 1422 packets received, 7636 bps, 95.45%, Err 27 (8.8e-06)
384.639 .... 1430 packets received, 7637 bps, 95.46%, Err 27 (8.8e-06)
386.754 .... 1438 packets received, 7637 bps, 95.47%, Err 28 (9.1e-06)
388.851 .... 1446 packets received, 7638 bps, 95.48%, Err 28 (9.0e-06)
391.500 .... 1451 packets received, 7613 bps, 95.16%, Err 29 (9.3e-06)
393.624 .... 1463 packets received, 7634 bps, 95.43%, Err 29 (9.2e-06)
395.741 .... 1471 packets received, 7635 bps, 95.43%, Err 29 (9.2e-06)
398.626 .... 1477 packets received, 7610 bps, 95.13%, Err 30 (9.4e-06)
401.554 .... 1487 packets received, 7606 bps, 95.07%, Err 31 (9.7e-06)
403.654 .... 1499 packets received, 7627 bps, 95.34%, Err 31 (9.6e-06)
405.778 .... 1507 packets received, 7627 bps, 95.34%, Err 31 (9.6e-06)
407.900 .... 1515 packets received, 7628 bps, 95.35%, Err 31 (9.5e-06)
410.531 .... 1520 packets received, 7604 bps, 95.05%, Err 32 (9.8e-06)
412.649 .... 1532 packets received, 7624 bps, 95.31%, Err 32 (9.7e-06)
414.776 .... 1540 packets received, 7625 bps, 95.31%, Err 32 (9.7e-06)
416.872 .... 1548 packets received, 7626 bps, 95.32%, Err 32 (9.6e-06)
420.038 .... 1555 packets received, 7602 bps, 95.03%, Err 33 (9.8e-06)
422.161 .... 1567 packets received, 7622 bps, 95.28%, Err 33 (9.8e-06)
424.270 .... 1575 packets received, 7623 bps, 95.29%, Err 33 (9.7e-06)
426.394 .... 1583 packets received, 7624 bps, 95.30%, Err 33 (9.7e-06)
428.493 .... 1591 packets received, 7625 bps, 95.31%, Err 33 (9.6e-06)
430.611 .... 1599 packets received, 7625 bps, 95.31%, Err 33 (9.6e-06)
432.721 .... 1607 packets received, 7626 bps, 95.32%, Err 33 (9.6e-06)
434.837 .... 1615 packets received, 7626 bps, 95.33%, Err 33 (9.5e-06)
436.957 .... 1623 packets received, 7627 bps, 95.34%, Err 33 (9.5e-06)
439.053 .... 1631 packets received, 7628 bps, 95.35%, Err 33 (9.4e-06)
441.433 .... 1635 packets received, 7605 bps, 95.06%, Err 35 (9.9e-06)
443.557 .... 1647 packets received, 7624 bps, 95.30%, Err 35 (9.9e-06)
445.653 .... 1655 packets received, 7625 bps, 95.31%, Err 35 (9.8e-06)
